Time_ms,ax,ay,az
1772930907197.257,0.0476,-0.5684,-0.7922
1772930907212.805,0.0478,-0.5694,-0.7949
1772930907212.805,0.0465,-0.5685,-0.7921
1772930907212.805,0.0447,-0.5698,-0.7931
1772930907212.805,0.0465,-0.5682,-0.7942
1772930907212.805,0.0459,-0.5689,-0.7947
1772930907212.805,0.0459,-0.5702,-0.7928
1772930907212.805,0.0442,-0.5693,-0.797
1772930907212.805,0.044,-0.5686,-0.7932
1772930907228.8694,0.0442,-0.5706,-0.7951
1772930907228.8694,0.0468,-0.5677,-0.793
1772930907228.8694,0.0464,-0.5694,-0.7943
1772930907228.8694,0.0451,-0.5661,-0.797
1772930907228.8694,0.0453,-0.5677,-0.7966
1772930907228.8694,0.0445,-0.5686,-0.7989
1772930907228.8694,0.0464,-0.5693,-0.7999
1772930907228.8694,0.0461,-0.5687,-0.7986
1772930907244.0583,0.045,-0.5716,-0.8046
1772930907244.0583,0.043,-0.5701,-0.8004
1772930907244.0583,0.0462,-0.5707,-0.8017
1772930907244.0583,0.0457,-0.5719,-0.8024
1772930907244.0583,0.0465,-0.5739,-0.8061
1772930907244.0583,0.0484,-0.5711,-0.8058
1772930907244.0583,0.0464,-0.5713,-0.8022
1772930907244.0583,0.0475,-0.573,-0.8025
1772930907260.1003,0.0501,-0.5719,-0.8039
1772930907260.1003,0.0475,-0.5735,-0.8003
1772930907260.1003,0.0519,-0.5777,-0.7889
1772930907260.1003,0.0522,-0.5784,-0.7873
1772930907260.1003,0.0508,-0.5773,-0.7831
1772930907276.183,0.0498,-0.576,-0.7877
1772930907276.183,0.0458,-0.5721,-0.784
1772930907276.183,0.046,-0.5743,-0.7821
1772930907276.183,0.0447,-0.5752,-0.7865
1772930907276.183,0.0438,-0.5768,-0.7839
1772930907276.183,0.039,-0.5768,-0.7834
1772930907276.183,0.0395,-0.5741,-0.7858
1772930907276.183,0.0411,-0.5715,-0.7909
1772930907291.6328,0.0401,-0.5692,-0.7935
1772930907291.6328,0.0368,-0.566,-0.7986
1772930907291.6328,0.0391,-0.5649,-0.8014
1772930907291.6328,0.0401,-0.5668,-0.8059
1772930907291.6328,0.0436,-0.566,-0.8069
1772930907291.6328,0.0451,-0.5647,-0.8115
1772930907291.6328,0.0473,-0.5669,-0.8097
1772930907291.6328,0.0515,-0.5673,-0.8127
1772930907306.9229,0.0561,-0.5672,-0.8081
1772930907306.9229,0.0588,-0.5658,-0.8055
1772930907306.9229,0.0614,-0.5634,-0.8034
1772930907306.9229,0.0647,-0.5592,-0.8006
1772930907306.9229,0.0631,-0.5537,-0.799
1772930907306.9229,0.0623,-0.5513,-0.8004
1772930907306.9229,0.0576,-0.5488,-0.8012
1772930907306.9229,0.055,-0.5505,-0.7998
1772930907322.9497,0.0517,-0.5543,-0.8002
1772930907322.9497,0.0556,-0.5583,-0.7982
1772930907322.9497,0.0556,-0.5663,-0.7946
1772930907322.9497,0.0578,-0.5693,-0.7909
1772930907322.9497,0.0584,-0.5728,-0.7887
1772930907322.9497,0.0577,-0.5755,-0.7874
1772930907322.9497,0.0583,-0.5755,-0.7831
1772930907322.9497,0.054,-0.5777,-0.7832
1772930907338.6826,0.0523,-0.579,-0.7822
1772930907338.6826,0.0497,-0.5811,-0.7797
1772930907338.6826,0.0481,-0.5818,-0.7811
1772930907338.6826,0.0482,-0.583,-0.7809
1772930907338.6826,0.0419,-0.5834,-0.7819
1772930907338.6826,0.042,-0.5825,-0.7823
1772930907338.6826,0.0419,-0.5849,-0.7807
1772930907338.6826,0.0387,-0.5811,-0.7848
1772930907353.322,0.0383,-0.5802,-0.7845
1772930907353.322,0.0366,-0.5788,-0.7868
1772930907353.322,0.0351,-0.576,-0.7906
1772930907353.322,0.0364,-0.5763,-0.7948
1772930907353.322,0.0352,-0.5754,-0.7975
1772930907353.322,0.0336,-0.573,-0.8037
1772930907369.0789,0.0345,-0.5688,-0.8084
1772930907369.0789,0.0342,-0.5664,-0.8147
1772930907369.0789,0.0354,-0.5669,-0.8225
1772930907369.0789,0.0356,-0.5646,-0.8306
1772930907369.0789,0.0366,-0.5636,-0.8321
1772930907369.0789,0.0365,-0.5641,-0.8389
1772930907369.0789,0.0414,-0.5647,-0.8389
1772930907369.0789,0.0393,-0.5666,-0.8406
1772930907384.7383,0.0443,-0.5688,-0.8427
1772930907384.7383,0.0488,-0.5699,-0.8316
1772930907384.7383,0.0511,-0.5742,-0.8159
1772930907384.7383,0.0555,-0.5741,-0.822
1772930907384.7383,0.0605,-0.576,-0.8119
1772930907384.7383,0.0615,-0.5726,-0.8064
1772930907384.7383,0.0614,-0.5712,-0.802
1772930907384.7383,0.0623,-0.5677,-0.7969
1772930907399.7817,0.0613,-0.5673,-0.7946
1772930907399.7817,0.0626,-0.5679,-0.7957
1772930907399.7817,0.0617,-0.568,-0.796
1772930907399.7817,0.0608,-0.568,-0.794
1772930907399.7817,0.0592,-0.5707,-0.7929
1772930907399.7817,0.0594,-0.5714,-0.7957
1772930907399.7817,0.0581,-0.5716,-0.8
1772930907399.7817,0.0535,-0.5757,-0.7981
1772930907415.1318,0.0522,-0.5771,-0.7974
1772930907415.1318,0.0488,-0.5775,-0.7942
1772930907415.1318,0.0492,-0.5816,-0.7907
1772930907415.1318,0.0484,-0.5817,-0.7903
1772930907415.1318,0.0445,-0.5846,-0.7857
1772930907430.2742,0.0481,-0.5863,-0.7815
1772930907430.2742,0.0476,-0.5856,-0.7796
1772930907430.2742,0.0486,-0.5843,-0.7751
1772930907430.2742,0.0497,-0.5826,-0.7724
1772930907430.2742,0.0496,-0.5804,-0.7736
1772930907430.2742,0.0496,-0.5776,-0.7734
1772930907430.2742,0.049,-0.5752,-0.7736
1772930907430.2742,0.0459,-0.5738,-0.7735
1772930907445.8364,0.0482,-0.5702,-0.7774
1772930907445.8364,0.0445,-0.5712,-0.7813
1772930907445.8364,0.0434,-0.5704,-0.7805
1772930907445.8364,0.0408,-0.5702,-0.7828
1772930907445.8364,0.0368,-0.5699,-0.7874
1772930907445.8364,0.0364,-0.5678,-0.7884
1772930907445.8364,0.0381,-0.5675,-0.7874
1772930907445.8364,0.0361,-0.5674,-0.789
1772930907460.9995,0.0368,-0.5694,-0.7926
1772930907460.9995,0.0404,-0.5689,-0.7898
1772930907460.9995,0.0356,-0.566,-0.7949
1772930907460.9995,0.0372,-0.5653,-0.7915
1772930907460.9995,0.0371,-0.5649,-0.7928
1772930907460.9995,0.037,-0.5658,-0.7928
1772930907460.9995,0.0395,-0.5643,-0.7929
1772930907460.9995,0.0395,-0.5633,-0.7909
1772930907477.0046,0.0418,-0.5634,-0.792
1772930907477.0046,0.0428,-0.5641,-0.7898
1772930907477.0046,0.0442,-0.5613,-0.7892
1772930907477.0046,0.0453,-0.5625,-0.7871
1772930907477.0046,0.047,-0.5641,-0.7877
1772930907492.1438,0.0485,-0.5633,-0.7862
1772930907492.1438,0.0508,-0.5644,-0.7887
1772930907492.1438,0.0522,-0.5642,-0.7899
1772930907492.1438,0.0544,-0.5657,-0.788
1772930907492.1438,0.0523,-0.5655,-0.7849
1772930907492.1438,0.052,-0.5662,-0.7856
1772930907492.1438,0.0544,-0.5656,-0.7865
1772930907492.1438,0.0502,-0.568,-0.7864
1772930907507.9907,0.0533,-0.5671,-0.7861
1772930907507.9907,0.0539,-0.5693,-0.784
1772930907507.9907,0.052,-0.571,-0.783
1772930907507.9907,0.0545,-0.5686,-0.7815
1772930907507.9907,0.0539,-0.5733,-0.7856
1772930907507.9907,0.0554,-0.5734,-0.7856
1772930907507.9907,0.054,-0.5738,-0.7844
1772930907507.9907,0.0539,-0.575,-0.7865
1772930907523.1711,0.0553,-0.576,-0.7849
1772930907523.1711,0.0524,-0.5773,-0.7899
1772930907523.1711,0.0539,-0.5785,-0.7868
1772930907523.1711,0.0508,-0.5816,-0.7892
1772930907523.1711,0.0495,-0.5815,-0.7896
1772930907523.1711,0.0507,-0.5809,-0.7939
1772930907523.1711,0.0478,-0.5821,-0.7908
1772930907523.1711,0.0475,-0.583,-0.7907
1772930907538.7883,0.047,-0.5804,-0.7947
1772930907538.7883,0.0448,-0.5819,-0.7943
1772930907538.7883,0.0438,-0.5821,-0.7968
1772930907538.7883,0.0449,-0.5808,-0.7989
1772930907538.7883,0.0411,-0.5816,-0.7997
1772930907538.7883,0.0422,-0.5813,-0.7997
1772930907538.7883,0.0404,-0.5774,-0.8006
1772930907538.7883,0.0421,-0.5805,-0.8003
1772930907554.3862,0.0426,-0.5803,-0.8028
1772930907554.3862,0.0452,-0.5787,-0.8014
1772930907554.3862,0.0448,-0.5754,-0.8017
1772930907554.3862,0.045,-0.5739,-0.8022
1772930907554.3862,0.0451,-0.5725,-0.8018
1772930907554.3862,0.0451,-0.5741,-0.7993
1772930907570.44,0.0449,-0.5754,-0.7976
1772930907570.44,0.0481,-0.5756,-0.7968
1772930907570.44,0.0511,-0.5751,-0.7976
1772930907570.44,0.0502,-0.5773,-0.7945
1772930907570.44,0.0487,-0.5747,-0.7951
1772930907570.44,0.051,-0.5796,-0.7925
1772930907570.44,0.052,-0.581,-0.7906
1772930907570.44,0.0536,-0.5807,-0.7897
1772930907585.6013,0.053,-0.5819,-0.7873
1772930907585.6013,0.0521,-0.5812,-0.7838
1772930907585.6013,0.051,-0.5789,-0.7835
1772930907585.6013,0.0491,-0.5815,-0.7843
1772930907585.6013,0.0483,-0.5796,-0.7818
1772930907585.6013,0.0479,-0.5786,-0.7834
1772930907585.6013,0.0476,-0.5797,-0.7832
1772930907585.6013,0.045,-0.5793,-0.7845
1772930907601.208,0.0495,-0.5805,-0.7846
1772930907601.208,0.0454,-0.5768,-0.7861
1772930907601.208,0.0449,-0.5777,-0.7867
1772930907601.208,0.0481,-0.5771,-0.7879
1772930907601.208,0.0487,-0.5743,-0.7893
1772930907601.208,0.0484,-0.5755,-0.7915
1772930907601.208,0.0431,-0.5722,-0.7946
1772930907601.208,0.044,-0.5724,-0.7956
1772930907616.9097,0.0489,-0.5718,-0.7968
1772930907616.9097,0.0498,-0.5702,-0.7979
1772930907616.9097,0.0496,-0.5714,-0.7983
1772930907616.9097,0.0514,-0.5705,-0.799
1772930907616.9097,0.0505,-0.568,-0.8008
1772930907616.9097,0.0519,-0.5704,-0.7986
1772930907616.9097,0.0523,-0.5707,-0.8004
1772930907616.9097,0.0546,-0.5703,-0.8018
1772930907632.8364,0.0515,-0.5699,-0.7967
1772930907632.8364,0.0542,-0.5691,-0.7968
1772930907632.8364,0.0506,-0.5694,-0.7971
1772930907632.8364,0.0505,-0.5678,-0.7931
1772930907632.8364,0.0524,-0.5682,-0.7821
1772930907648.0725,0.0503,-0.568,-0.7929
