Time_ms,ax,ay,az,gx,gy,gz
1772932654544.639,-0.1105,-0.0069,-0.9828,3.185,-3.246,-1.103
1772932654560.6973,-0.1094,-0.0068,-0.9839,2.817,-3.465,-1.251
1772932654560.6973,-0.1088,-0.0044,-0.9856,3.29,-3.684,-1.286
1772932654560.6973,-0.1064,-0.0047,-0.984,3.167,-4.156,-1.4
1772932654560.6973,-0.1063,-0.0046,-0.9812,3.062,-4.261,-1.26
1772932654576.8037,-0.1071,-0.0047,-0.982,3.264,-4.393,-1.488
1772932654576.8037,-0.1088,-0.007,-0.9778,3.299,-4.34,-1.278
1772932654576.8037,-0.1075,-0.0071,-0.9756,3.089,-4.287,-1.383
1772932654576.8037,-0.1103,-0.0064,-0.9731,3.194,-4.174,-1.234
1772932654576.8037,-0.1111,-0.0068,-0.9706,3.211,-4.095,-1.111
1772932654592.3718,-0.1114,-0.007,-0.971,3.237,-3.815,-1.103
1772932654592.3718,-0.1122,-0.0076,-0.9679,3.124,-3.299,-1.278
1772932654592.3718,-0.1124,-0.0065,-0.9667,3.176,-3.106,-1.251
1772932654592.3718,-0.1104,-0.0059,-0.966,3.036,-2.879,-1.208
1772932654608.4324,-0.1118,-0.006,-0.9649,3.229,-2.38,-1.085
1772932654608.4324,-0.1128,-0.0069,-0.9667,2.896,-2.555,-1.339
1772932654608.4324,-0.1143,-0.0077,-0.9681,2.791,-2.152,-1.417
1772932654608.4324,-0.1085,-0.0065,-0.9689,2.879,-2.065,-1.304
1772932654624.0344,-0.1108,-0.0042,-0.9745,2.686,-1.907,-1.601
1772932654624.0344,-0.1094,-0.0036,-0.9805,2.783,-2.109,-1.452
1772932654624.0344,-0.1099,-0.0026,-0.9884,2.984,-2.319,-1.671
1772932654624.0344,-0.1077,-0.002,-0.9943,3.272,-2.94,-1.365
1772932654624.0344,-0.1085,-0.0012,-0.999,3.474,-3.771,-1.61
1772932654639.6821,-0.1098,-0.0023,-1.0022,3.806,-5.119,-1.732
1772932654639.6821,-0.1088,-0.0016,-1.0027,4.34,-6.239,-1.899
1772932654654.8315,-0.1061,-0.0031,-0.9999,4.707,-6.799,-1.96
1772932654654.8315,-0.1043,-0.0046,-0.9917,5.101,-7.42,-1.601
1772932654654.8315,-0.1042,-0.0075,-0.9821,5.346,-7.901,-1.689
1772932654654.8315,-0.1047,-0.0093,-0.9751,5.355,-7.586,-1.663
1772932654654.8315,-0.1035,-0.0138,-0.9668,4.952,-7.175,-1.663
1772932654670.6807,-0.1031,-0.017,-0.9602,4.016,-6.186,-1.584
1772932654670.6807,-0.1014,-0.0171,-0.9559,3.071,-5.005,-1.12
1772932654670.6807,-0.1023,-0.0173,-0.9537,2.03,-4.244,-1.26
1772932654670.6807,-0.0977,-0.0185,-0.9509,1.024,-2.888,-1.076
1772932654686.2544,-0.0992,-0.0196,-0.9503,0.446,-1.864,-0.945
1772932654686.2544,-0.1003,-0.0184,-0.9548,0.271,-1.041,-0.989
1772932654686.2544,-0.1016,-0.0158,-0.9653,0.98,-0.446,-0.569
1772932654686.2544,-0.0989,-0.0127,-0.9882,1.837,-0.613,-0.569
1772932654701.803,-0.1006,-0.0146,-1.0005,3.299,-1.558,-0.376
1772932654701.803,-0.1016,-0.0141,-1.0058,4.48,-2.853,-0.219
1772932654701.803,-0.1051,-0.0152,-0.9989,5.626,-4.244,0.131
1772932654701.803,-0.1056,-0.0207,-0.9866,6.011,-4.952,0.263
1772932654701.803,-0.108,-0.0269,-0.9687,6.178,-4.839,0.963
1772932654717.7568,-0.1116,-0.0287,-0.9504,5.609,-3.876,1.391
1772932654717.7568,-0.1112,-0.0284,-0.9442,5.294,-2.328,1.837
1772932654733.8345,-0.1115,-0.0246,-0.9486,4.926,-1.33,1.881
1772932654733.8345,-0.1089,-0.0199,-0.9611,4.751,-0.21,1.89
1772932654733.8345,-0.1091,-0.0155,-0.9748,4.611,0.429,1.846
1772932654733.8345,-0.1083,-0.008,-0.9833,4.156,0.752,1.365
1772932654733.8345,-0.1112,-0.0018,-0.9927,3.78,1.12,1.146
1772932654749.074,-0.1154,0.0009,-0.9925,3.01,1.837,0.455
1772932654749.074,-0.1193,0.0051,-0.9783,2.616,2.993,0.166
1772932654749.074,-0.1193,0.0125,-0.9706,1.627,4.209,-0.07
1772932654749.074,-0.1211,0.0157,-0.9635,1.155,5.276,-0.621
1772932654764.1724,-0.1158,0.0178,-0.961,1.041,6.178,-0.998
1772932654764.1724,-0.1137,0.0154,-0.9597,1.067,6.204,-1.094
1772932654764.1724,-0.1124,0.0129,-0.9573,1.391,5.644,-1.312
1772932654764.1724,-0.1093,0.0081,-0.9586,1.82,4.716,-1.663
1772932654764.1724,-0.1078,0.0069,-0.9575,1.698,3.089,-1.365
1772932654781.335,-0.1036,0.0001,-0.9582,1.916,2.196,-1.531
1772932654781.335,-0.0998,-0.0059,-0.9626,1.864,0.963,-1.137
1772932654781.335,-0.0985,-0.0084,-0.9683,1.724,-0.341,-0.971
1772932654781.335,-0.0939,-0.0138,-0.9755,1.689,-1.155,-0.77
1772932654797.8884,-0.0952,-0.0178,-0.9814,1.899,-2.292,-0.481
1772932654797.8884,-0.0911,-0.0187,-0.984,2.205,-3.369,-0.709
1772932654797.8884,-0.0887,-0.0181,-0.9842,2.1,-3.868,-0.7
1772932654797.8884,-0.0882,-0.0188,-0.9859,2.091,-4.55,-0.718
1772932654812.9553,-0.0853,-0.0143,-0.9837,2.214,-4.996,-0.831
1772932654812.9553,-0.0885,-0.011,-0.9845,2.415,-5.451,-1.015
1772932654812.9553,-0.0844,-0.0096,-0.9861,2.467,-5.539,-1.199
1772932654812.9553,-0.0827,-0.0034,-0.987,2.721,-5.617,-1.269
1772932654812.9553,-0.0844,0.0003,-0.9856,2.888,-5.11,-1.374
1772932654829.384,-0.0872,0.0047,-0.9892,3.089,-5.294,-1.417
1772932654829.384,-0.0857,0.0068,-0.9843,3.132,-4.856,-1.514
1772932654829.384,-0.0872,0.0071,-0.9832,3.027,-5.049,-1.4
1772932654829.384,-0.0885,0.0085,-0.9795,3.027,-4.97,-1.522
1772932654845.129,-0.0927,0.0071,-0.9762,3.045,-4.655,-1.269
1772932654845.129,-0.0946,0.0066,-0.9725,2.8,-4.112,-1.356
1772932654845.129,-0.096,0.0043,-0.9715,2.669,-3.649,-1.129
1772932654860.6558,-0.0976,0.003,-0.9689,2.599,-2.896,-1.05
1772932654860.6558,-0.0985,0.0018,-0.9701,2.791,-2.485,-0.744
1772932654860.6558,-0.0961,0.0024,-0.9717,3.001,-1.881,-0.814
1772932654860.6558,-0.0953,0.0021,-0.9722,2.879,-2.161,-0.936
1772932654876.2625,-0.095,-0.0002,-0.9726,3.22,-2.188,-1.085
1772932654876.2625,-0.0939,-0.0026,-0.9753,3.36,-2.17,-1.374
1772932654876.2625,-0.0879,-0.004,-0.9745,3.281,-2.354,-1.514
