Time_ms,ax,ay,az
1772931090211.909,0.0525,-0.6195,-0.7607
1772931090211.909,0.0514,-0.6212,-0.7593
1772931090211.909,0.0516,-0.62,-0.761
1772931090211.909,0.0501,-0.621,-0.7598
1772931090211.909,0.0495,-0.6231,-0.7617
1772931090227.1318,0.0504,-0.6217,-0.7607
1772931090227.1318,0.0502,-0.6221,-0.7613
1772931090227.1318,0.0503,-0.6232,-0.7598
1772931090227.1318,0.0505,-0.62,-0.7569
1772931090227.1318,0.0517,-0.6227,-0.7566
1772931090227.1318,0.0504,-0.6223,-0.7582
1772931090227.1318,0.0511,-0.6227,-0.7573
1772931090227.1318,0.0509,-0.6195,-0.7604
1772931090242.703,0.0509,-0.6213,-0.7563
1772931090242.703,0.0497,-0.6183,-0.7586
1772931090242.703,0.0514,-0.6177,-0.76
1772931090242.703,0.0513,-0.6186,-0.7622
1772931090242.703,0.0512,-0.6163,-0.7612
1772931090242.703,0.0497,-0.6153,-0.7603
1772931090242.703,0.0513,-0.6137,-0.7556
1772931090242.703,0.0541,-0.6145,-0.7591
1772931090258.7507,0.0547,-0.6135,-0.7556
1772931090258.7507,0.0546,-0.6116,-0.7559
1772931090258.7507,0.0556,-0.6123,-0.7606
1772931090258.7507,0.0546,-0.6128,-0.7573
1772931090258.7507,0.0554,-0.6129,-0.7559
1772931090258.7507,0.0512,-0.6135,-0.7564
1772931090258.7507,0.049,-0.6157,-0.7613
1772931090258.7507,0.0516,-0.6162,-0.7592
1772931090274.2864,0.0496,-0.6179,-0.7583
1772931090274.2864,0.0491,-0.6159,-0.7588
1772931090274.2864,0.0507,-0.6172,-0.7594
1772931090274.2864,0.0506,-0.6161,-0.7609
1772931090274.2864,0.0512,-0.6185,-0.7557
1772931090274.2864,0.0511,-0.6181,-0.753
1772931090289.587,0.0501,-0.6183,-0.7566
1772931090289.587,0.0508,-0.6178,-0.753
1772931090289.587,0.0512,-0.616,-0.7497
1772931090289.587,0.0515,-0.6193,-0.7489
1772931090289.587,0.0516,-0.6161,-0.7466
1772931090289.587,0.0536,-0.6169,-0.7459
1772931090289.587,0.0547,-0.619,-0.7459
1772931090289.587,0.0529,-0.6199,-0.7433
1772931090304.7336,0.0528,-0.6187,-0.7452
1772931090304.7336,0.0515,-0.6154,-0.7444
1772931090304.7336,0.0503,-0.6173,-0.7455
1772931090304.7336,0.0468,-0.6184,-0.7458
1772931090304.7336,0.0496,-0.6206,-0.7416
1772931090304.7336,0.0491,-0.6163,-0.748
1772931090304.7336,0.0443,-0.6125,-0.7524
1772931090304.7336,0.0426,-0.6111,-0.7559
1772931090320.3975,0.0434,-0.6104,-0.7616
1772931090320.3975,0.0461,-0.6084,-0.7651
1772931090320.3975,0.0608,-0.6127,-0.7693
1772931090320.3975,0.0476,-0.614,-0.7696
1772931090320.3975,0.0523,-0.6143,-0.7725
1772931090320.3975,0.0541,-0.6097,-0.7742
1772931090320.3975,0.0547,-0.6071,-0.775
1772931090320.3975,0.0561,-0.6047,-0.7799
1772931090335.9019,0.0556,-0.6028,-0.7807
1772931090335.9019,0.0598,-0.6026,-0.7799
1772931090335.9019,0.0617,-0.6102,-0.7842
1772931090335.9019,0.0654,-0.6171,-0.7804
1772931090335.9019,0.0682,-0.6186,-0.7804
1772931090351.7878,0.0727,-0.6205,-0.7828
1772931090351.7878,0.0734,-0.6231,-0.7796
1772931090351.7878,0.0744,-0.6243,-0.7778
1772931090351.7878,0.0727,-0.6229,-0.7736
1772931090351.7878,0.0742,-0.6211,-0.7685
1772931090351.7878,0.0708,-0.6234,-0.7666
1772931090351.7878,0.0725,-0.6193,-0.7625
1772931090351.7878,0.0712,-0.6227,-0.761
1772931090366.47,0.07,-0.6206,-0.7546
1772931090366.47,0.0709,-0.6223,-0.7538
1772931090366.47,0.0723,-0.6232,-0.749
1772931090366.47,0.0712,-0.6229,-0.7462
1772931090366.47,0.0718,-0.6243,-0.7463
1772931090366.47,0.0693,-0.6237,-0.7405
1772931090366.47,0.0667,-0.6263,-0.7396
1772931090366.47,0.0648,-0.626,-0.7401
1772931090382.5166,0.0631,-0.6253,-0.7377
1772931090382.5166,0.0574,-0.6257,-0.7382
1772931090382.5166,0.057,-0.6282,-0.7373
1772931090382.5166,0.0553,-0.6269,-0.7396
1772931090382.5166,0.0532,-0.6229,-0.7446
1772931090382.5166,0.0501,-0.6246,-0.7463
1772931090382.5166,0.0503,-0.6228,-0.7489
1772931090382.5166,0.0474,-0.6218,-0.7505
1772931090398.753,0.0498,-0.6191,-0.7526
1772931090398.753,0.0481,-0.6174,-0.7566
1772931090398.753,0.0447,-0.614,-0.7623
1772931090398.753,0.043,-0.6157,-0.7625
1772931090398.753,0.0426,-0.6173,-0.7663
1772931090398.753,0.0412,-0.6146,-0.7684
1772931090398.753,0.0439,-0.6132,-0.7706
1772931090398.753,0.0444,-0.6151,-0.7734
1772931090413.8967,0.0491,-0.6159,-0.7751
1772931090413.8967,0.0479,-0.6157,-0.7758
1772931090413.8967,0.0484,-0.6142,-0.777
1772931090413.8967,0.0525,-0.6145,-0.7793
1772931090413.8967,0.0529,-0.6156,-0.7817
1772931090413.8967,0.0574,-0.6157,-0.7813
1772931090413.8967,0.0586,-0.6162,-0.7822
1772931090413.8967,0.0589,-0.6177,-0.7793
1772931090429.5132,0.0639,-0.6161,-0.7795
1772931090429.5132,0.0655,-0.6175,-0.7757
1772931090429.5132,0.0676,-0.6198,-0.7736
1772931090429.5132,0.0669,-0.6127,-0.7735
1772931090429.5132,0.0676,-0.6139,-0.7737
1772931090445.5881,0.0691,-0.6132,-0.7683
1772931090445.5881,0.0642,-0.6129,-0.7713
1772931090445.5881,0.0657,-0.6154,-0.7709
1772931090445.5881,0.0625,-0.6167,-0.7729
1772931090445.5881,0.0601,-0.6152,-0.7713
1772931090445.5881,0.0597,-0.6157,-0.7736
1772931090445.5881,0.0591,-0.6196,-0.7735
1772931090445.5881,0.0569,-0.6156,-0.7728
1772931090461.6265,0.057,-0.6152,-0.7715
1772931090461.6265,0.0528,-0.615,-0.7724
1772931090461.6265,0.054,-0.6127,-0.7699
1772931090461.6265,0.0515,-0.6174,-0.7709
1772931090461.6265,0.0522,-0.6132,-0.771
1772931090461.6265,0.0517,-0.6143,-0.7652
1772931090461.6265,0.0508,-0.6146,-0.7679
1772931090461.6265,0.0519,-0.6165,-0.7687
1772931090476.3472,0.0522,-0.6126,-0.7636
1772931090476.3472,0.0535,-0.6158,-0.7632
1772931090476.3472,0.0554,-0.6148,-0.7609
1772931090476.3472,0.0505,-0.6143,-0.7603
1772931090476.3472,0.0515,-0.6161,-0.7576
1772931090476.3472,0.0514,-0.6161,-0.7578
1772931090476.3472,0.0521,-0.6155,-0.7571
1772931090476.3472,0.0488,-0.6153,-0.7592
1772931090492.423,0.0481,-0.6166,-0.7583
1772931090492.423,0.0478,-0.6141,-0.7591
1772931090492.423,0.0463,-0.6172,-0.7578
1772931090492.423,0.048,-0.6146,-0.7584
1772931090492.423,0.0476,-0.6125,-0.757
1772931090492.423,0.047,-0.6129,-0.7591
1772931090492.423,0.0438,-0.614,-0.7604
1772931090492.423,0.0459,-0.6122,-0.7605
1772931090507.8906,0.0466,-0.6105,-0.762
1772931090507.8906,0.0433,-0.6099,-0.7646
1772931090507.8906,0.0434,-0.6093,-0.7616
1772931090507.8906,0.0431,-0.6079,-0.7626
1772931090507.8906,0.0427,-0.608,-0.7634
1772931090507.8906,0.0483,-0.6066,-0.7612
1772931090523.4548,0.0428,-0.6063,-0.7607
1772931090523.4548,0.0445,-0.606,-0.759
1772931090523.4548,0.0454,-0.6073,-0.7584
1772931090523.4548,0.045,-0.603,-0.7618
1772931090523.4548,0.0473,-0.6077,-0.7629
1772931090523.4548,0.0501,-0.6091,-0.7613
1772931090523.4548,0.0469,-0.609,-0.7627
1772931090523.4548,0.0481,-0.6102,-0.7606
1772931090538.5515,0.047,-0.611,-0.7623
1772931090538.5515,0.0481,-0.6115,-0.7596
1772931090538.5515,0.0493,-0.6108,-0.7565
